Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;1974M12;35878
Total Nacional;1974M11;25027
Total Nacional;1974M10;23762
Total Nacional;1974M09;19899
Total Nacional;1974M08;21487
Total Nacional;1974M07;22904
Total Nacional;1974M06;20437
Total Nacional;1974M05;23726
Total Nacional;1974M04;24072
Total Nacional;1974M03;26915
Total Nacional;1974M02;25489
Total Nacional;1974M01;29889
Total Nacional;1973M12;29794
Total Nacional;1973M11;23393
Total Nacional;1973M10;22698
Total Nacional;1973M09;19663
Total Nacional;1973M08;22133
Total Nacional;1973M07;2207
Total Nacional;1973M06;20688
Total Nacional;1973M05;21941
Total Nacional;1973M04;23497
Total Nacional;1973M03;26551
Total Nacional;1973M02;28614
Total Nacional;1973M01;39744
Total Nacional;1972M12;27381
Total Nacional;1972M11;22803
Total Nacional;1972M10;22403
Total Nacional;1972M09;19729
Total Nacional;1972M08;20128
Total Nacional;1972M07;21457
Total Nacional;1972M06;2068
Total Nacional;1972M05;23266
Total Nacional;1972M04;23148
Total Nacional;1972M03;25921
Total Nacional;1972M02;26983
Total Nacional;1972M01;30672
Total Nacional;1971M12;34379
Total Nacional;1971M11;30068
Total Nacional;1971M10;21803
Total Nacional;1971M09;19857
Total Nacional;1971M08;2109
Total Nacional;1971M07;22275
Total Nacional;1971M06;22527
Total Nacional;1971M05;22937
Total Nacional;1971M04;24844
Total Nacional;1971M03;28034
Total Nacional;1971M02;2581
Total Nacional;1971M01;33905
Total Nacional;1970M12;28199
Total Nacional;1970M11;23368
Total Nacional;1970M10;21888
Total Nacional;1970M09;196
Total Nacional;1970M08;20307
Total Nacional;1970M07;21196
Total Nacional;1970M06;20375
Total Nacional;1970M05;23004
Total Nacional;1970M04;2401
Total Nacional;1970M03;28293
Total Nacional;1970M02;24762
Total Nacional;1970M01;30131
Total Nacional;1969M12;34789
Total Nacional;1969M11;31646
Total Nacional;1969M10;23315
Total Nacional;1969M09;19917
Total Nacional;1969M08;20769
Total Nacional;1969M07;22805
Total Nacional;1969M06;20961
Total Nacional;1969M05;22786
Total Nacional;1969M04;24156
Total Nacional;1969M03;26495
Total Nacional;1969M02;25851
Total Nacional;1969M01;28862
Total Nacional;1968M12;26496
Total Nacional;1968M11;22195
Total Nacional;1968M10;19812
Total Nacional;1968M09;1857
Total Nacional;1968M08;19396
Total Nacional;1968M07;21083
Total Nacional;1968M06;19834
Total Nacional;1968M05;21694
Total Nacional;1968M04;23744
Total Nacional;1968M03;29679
Total Nacional;1968M02;30628
Total Nacional;1968M01;29497
Total Nacional;1967M12;2919
Total Nacional;1967M11;22625
Total Nacional;1967M10;1961
Total Nacional;1967M09;18773
Total Nacional;1967M08;19874
Total Nacional;1967M07;21732
Total Nacional;1967M06;19719
Total Nacional;1967M05;22906
Total Nacional;1967M04;23152
Total Nacional;1967M03;24847
Total Nacional;1967M02;26578
Total Nacional;1967M01;30463
Total Nacional;1966M12;28332
Total Nacional;1966M11;24776
Total Nacional;1966M10;20281
Total Nacional;1966M09;18698
Total Nacional;1966M08;19888
Total Nacional;1966M07;19889
Total Nacional;1966M06;19743
Total Nacional;1966M05;23346
Total Nacional;1966M04;24628
Total Nacional;1966M03;25907
Total Nacional;1966M02;22805
Total Nacional;1966M01;26877
Total Nacional;1965M12;26094
