Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;1965M11;21815
Total Nacional;1965M10;20112
Total Nacional;1965M09;18356
Total Nacional;1965M08;18528
Total Nacional;1965M07;18469
Total Nacional;1965M06;20629
Total Nacional;1965M05;21904
Total Nacional;1965M04;22951
Total Nacional;1965M03;28264
Total Nacional;1965M02;25458
Total Nacional;1965M01;30629
Total Nacional;1964M12;27307
Total Nacional;1964M11;22606
Total Nacional;1964M10;19847
Total Nacional;1964M09;1761
Total Nacional;1964M08;19126
Total Nacional;1964M07;20261
Total Nacional;1964M06;18362
Total Nacional;1964M05;20114
Total Nacional;1964M04;23803
Total Nacional;1964M03;26525
Total Nacional;1964M02;27759
Total Nacional;1964M01;29642
Total Nacional;1963M12;27062
Total Nacional;1963M11;20588
Total Nacional;1963M10;18881
Total Nacional;1963M09;17908
Total Nacional;1963M08;18138
Total Nacional;1963M07;19386
Total Nacional;1963M06;19797
Total Nacional;1963M05;22332
Total Nacional;1963M04;24861
Total Nacional;1963M03;28367
Total Nacional;1963M02;32327
Total Nacional;1963M01;31807
Total Nacional;1962M12;30472
Total Nacional;1962M11;23653
Total Nacional;1962M10;19235
Total Nacional;1962M09;17765
Total Nacional;1962M08;18856
Total Nacional;1962M07;18737
Total Nacional;1962M06;19658
Total Nacional;1962M05;2027
Total Nacional;1962M04;22038
Total Nacional;1962M03;26301
Total Nacional;1962M02;28117
Total Nacional;1962M01;3242
Total Nacional;1961M12;27145
Total Nacional;1961M11;22471
Total Nacional;1961M10;1936
Total Nacional;1961M09;17793
Total Nacional;1961M08;18374
Total Nacional;1961M07;1872
Total Nacional;1961M06;19438
Total Nacional;1961M05;20763
Total Nacional;1961M04;21215
Total Nacional;1961M03;23629
Total Nacional;1961M02;23708
Total Nacional;1961M01;29723
Total Nacional;1960M12;27694
Total Nacional;1960M11;21624
Total Nacional;1960M10;20589
Total Nacional;1960M09;17555
Total Nacional;1960M08;18399
Total Nacional;1960M07;18669
Total Nacional;1960M06;18374
Total Nacional;1960M05;20999
Total Nacional;1960M04;21243
Total Nacional;1960M03;24022
Total Nacional;1960M02;28293
Total Nacional;1960M01;30391
Total Nacional;1959M12;2616
Total Nacional;1959M11;21508
Total Nacional;1959M10;19611
Total Nacional;1959M09;17703
Total Nacional;1959M08;18731
Total Nacional;1959M07;20177
Total Nacional;1959M06;20241
Total Nacional;1959M05;21861
Total Nacional;1959M04;24828
Total Nacional;1959M03;25372
Total Nacional;1959M02;24621
Total Nacional;1959M01;27744
Total Nacional;1958M12;25152
Total Nacional;1958M11;21114
Total Nacional;1958M10;1982
Total Nacional;1958M09;18263
Total Nacional;1958M08;18653
Total Nacional;1958M07;19169
Total Nacional;1958M06;18505
Total Nacional;1958M05;19833
Total Nacional;1958M04;21862
Total Nacional;1958M03;24283
Total Nacional;1958M02;23151
Total Nacional;1958M01;29903
Total Nacional;1957M12;30062
Total Nacional;1957M11;31602
Total Nacional;1957M10;30446
Total Nacional;1957M09;18958
Total Nacional;1957M08;19501
Total Nacional;1957M07;19845
Total Nacional;1957M06;19091
Total Nacional;1957M05;20205
Total Nacional;1957M04;20889
Total Nacional;1957M03;24284
Total Nacional;1957M02;26741
Total Nacional;1957M01;31878
Total Nacional;1956M12;28498
Total Nacional;1956M11;2338
Total Nacional;1956M10;19798
Total Nacional;1956M09;18318
Total Nacional;1956M08;18995
Total Nacional;1956M07;20058
Total Nacional;1956M06;19962
Total Nacional;1956M05;21813
Total Nacional;1956M04;22641
Total Nacional;1956M03;29267
Total Nacional;1956M02;36222
Total Nacional;1956M01;30303
Total Nacional;1955M12;26282
Total Nacional;1955M11;23219
Total Nacional;1955M10;20962
Total Nacional;1955M09;18761
Total Nacional;1955M08;19672
Total Nacional;1955M07;20001
Total Nacional;1955M06;20076
Total Nacional;1955M05;20902
Total Nacional;1955M04;21685
Total Nacional;1955M03;29341
Total Nacional;1955M02;24364
Total Nacional;1955M01;2784
Total Nacional;1954M12;25485
Total Nacional;1954M11;20953
Total Nacional;1954M10;1963
Total Nacional;1954M09;1806
Total Nacional;1954M08;19134
Total Nacional;1954M07;20074
Total Nacional;1954M06;1945
Total Nacional;1954M05;20623
Total Nacional;1954M04;21702
Total Nacional;1954M03;23872
Total Nacional;1954M02;26439
Total Nacional;1954M01;28123
Total Nacional;1953M12;22211
Total Nacional;1953M11;21106
Total Nacional;1953M10;20744
Total Nacional;1953M09;19416
Total Nacional;1953M08;20096
Total Nacional;1953M07;19656
Total Nacional;1953M06;19092
Total Nacional;1953M05;20808
Total Nacional;1953M04;23243
Total Nacional;1953M03;30895
Total Nacional;1953M02;28902
Total Nacional;1953M01;3116
Total Nacional;1952M12;24725
Total Nacional;1952M11;21164
Total Nacional;1952M10;19617
Total Nacional;1952M09;18034
Total Nacional;1952M08;19455
Total Nacional;1952M07;20592
Total Nacional;1952M06;20387
Total Nacional;1952M05;2266
Total Nacional;1952M04;234
Total Nacional;1952M03;27103
Total Nacional;1952M02;28631
Total Nacional;1952M01;29731
Total Nacional;1951M12;25545
Total Nacional;1951M11;22875
Total Nacional;1951M10;22296
Total Nacional;1951M09;19589
Total Nacional;1951M08;20101
Total Nacional;1951M07;21322
Total Nacional;1951M06;20688
Total Nacional;1951M05;23169
Total Nacional;1951M04;23846
Total Nacional;1951M03;32405
Total Nacional;1951M02;4672
Total Nacional;1951M01;47098
Total Nacional;1950M12;29824
Total Nacional;1950M11;23823
Total Nacional;1950M10;22439
Total Nacional;1950M09;21546
Total Nacional;1950M08;2287
Total Nacional;1950M07;24935
Total Nacional;1950M06;23345
Total Nacional;1950M05;24765
Total Nacional;1950M04;24701
Total Nacional;1950M03;27312
Total Nacional;1950M02;27079
Total Nacional;1950M01;31761
Total Nacional;1949M12;30796
Total Nacional;1949M11;2722
Total Nacional;1949M10;24747
Total Nacional;1949M09;2256
Total Nacional;1949M08;25295
Total Nacional;1949M07;25579
Total Nacional;1949M06;23378
Total Nacional;1949M05;2519
Total Nacional;1949M04;24713
Total Nacional;1949M03;29411
Total Nacional;1949M02;29129
Total Nacional;1949M01;31993
Total Nacional;1948M12;28114
Total Nacional;1948M11;25184
Total Nacional;1948M10;23301
Total Nacional;1948M09;21697
Total Nacional;1948M08;22841
Total Nacional;1948M07;2453
Total Nacional;1948M06;23916
Total Nacional;1948M05;24419
Total Nacional;1948M04;23956
Total Nacional;1948M03;27529
Total Nacional;1948M02;27946
Total Nacional;1948M01;30262
Total Nacional;1947M12;31549
Total Nacional;1947M11;23883
Total Nacional;1947M10;23591
Total Nacional;1947M09;22271
Total Nacional;1947M08;23733
Total Nacional;1947M07;24519
Total Nacional;1947M06;22792
Total Nacional;1947M05;23947
Total Nacional;1947M04;26624
Total Nacional;1947M03;3191
Total Nacional;1947M02;35593
Total Nacional;1947M01;38283
Total Nacional;1946M12;33193
Total Nacional;1946M11;27613
Total Nacional;1946M10;25622
Total Nacional;1946M09;24611
Total Nacional;1946M08;29536
Total Nacional;1946M07;31676
Total Nacional;1946M06;29196
Total Nacional;1946M05;30
Total Nacional;1946M04;27103
Total Nacional;1946M03;30722
Total Nacional;1946M02;28313
Total Nacional;1946M01;33836
Total Nacional;1945M12;31012
Total Nacional;1945M11;26426
Total Nacional;1945M10;26682
Total Nacional;1945M09;23909
Total Nacional;1945M08;25321
Total Nacional;1945M07;2686
Total Nacional;1945M06;25228
Total Nacional;1945M05;25151
Total Nacional;1945M04;24877
Total Nacional;1945M03;28793
Total Nacional;1945M02;27997
Total Nacional;1945M01;38325
Total Nacional;1944M12;28622
Total Nacional;1944M11;26549
Total Nacional;1944M10;27431
Total Nacional;1944M09;24984
Total Nacional;1944M08;27908
Total Nacional;1944M07;28903
Total Nacional;1944M06;2648
Total Nacional;1944M05;25708
Total Nacional;1944M04;24435
Total Nacional;1944M03;32778
Total Nacional;1944M02;32919
Total Nacional;1944M01;42397
Total Nacional;1943M12;3722
Total Nacional;1943M11;28953
Total Nacional;1943M10;26416
Total Nacional;1943M09;25454
Total Nacional;1943M08;28795
Total Nacional;1943M07;30769
Total Nacional;1943M06;28303
Total Nacional;1943M05;26331
Total Nacional;1943M04;25545
Total Nacional;1943M03;31216
Total Nacional;1943M02;29749
Total Nacional;1943M01;33836
Total Nacional;1942M12;33575
Total Nacional;1942M11;29162
Total Nacional;1942M10;29377
Total Nacional;1942M09;28553
Total Nacional;1942M08;30548
Total Nacional;1942M07;31378
Total Nacional;1942M06;27978
Total Nacional;1942M05;28746
Total Nacional;1942M04;30487
Total Nacional;1942M03;38873
Total Nacional;1942M02;38038
Total Nacional;1942M01;41129
Total Nacional;1941M12;38071
Total Nacional;1941M11;37884
Total Nacional;1941M10;37132
Total Nacional;1941M09;358
Total Nacional;1941M08;39254
Total Nacional;1941M07;40405
Total Nacional;1941M06;36206
Total Nacional;1941M05;40061
Total Nacional;1941M04;44773
Total Nacional;1941M03;46442
Total Nacional;1941M02;41637
Total Nacional;1941M01;50083
01 Andalucía;1974M12;5747
01 Andalucía;1974M11;4219
01 Andalucía;1974M10;3696
01 Andalucía;1974M09;3236
01 Andalucía;1974M08;3724
01 Andalucía;1974M07;415
01 Andalucía;1974M06;3428
01 Andalucía;1974M05;4071
01 Andalucía;1974M04;4099
01 Andalucía;1974M03;4801
01 Andalucía;1974M02;4531
01 Andalucía;1974M01;5161
01 Andalucía;1973M12;4971
01 Andalucía;1973M11;3806
01 Andalucía;1973M10;3658
01 Andalucía;1973M09;3175
01 Andalucía;1973M08;3934
01 Andalucía;1973M07;3846
01 Andalucía;1973M06;3528
01 Andalucía;1973M05;3738
01 Andalucía;1973M04;3962
01 Andalucía;1973M03;461
01 Andalucía;1973M02;526
01 Andalucía;1973M01;6385
01 Andalucía;1972M12;4605
01 Andalucía;1972M11;3802
01 Andalucía;1972M10;364
01 Andalucía;1972M09;3316
01 Andalucía;1972M08;346
01 Andalucía;1972M07;3632
01 Andalucía;1972M06;3539
01 Andalucía;1972M05;3954
01 Andalucía;1972M04;3877
01 Andalucía;1972M03;4636
01 Andalucía;1972M02;4283
01 Andalucía;1972M01;5389
01 Andalucía;1971M12;6205
01 Andalucía;1971M11;5131
01 Andalucía;1971M10;352
01 Andalucía;1971M09;329
01 Andalucía;1971M08;3536
01 Andalucía;1971M07;3774
01 Andalucía;1971M06;3725
01 Andalucía;1971M05;3984
01 Andalucía;1971M04;4199
01 Andalucía;1971M03;4784
01 Andalucía;1971M02;4592
01 Andalucía;1971M01;5931
01 Andalucía;1970M12;4868
01 Andalucía;1970M11;3824
01 Andalucía;1970M10;3692
01 Andalucía;1970M09;3386
01 Andalucía;1970M08;3436
01 Andalucía;1970M07;3783
01 Andalucía;1970M06;3438
01 Andalucía;1970M05;4029
01 Andalucía;1970M04;4171
01 Andalucía;1970M03;4849
01 Andalucía;1970M02;4326
01 Andalucía;1970M01;5393
01 Andalucía;1969M12;6275
01 Andalucía;1969M11;5789
01 Andalucía;1969M10;3731
01 Andalucía;1969M09;3158
01 Andalucía;1969M08;3594
01 Andalucía;1969M07;41
01 Andalucía;1969M06;3647
01 Andalucía;1969M05;394
01 Andalucía;1969M04;434
01 Andalucía;1969M03;4563
01 Andalucía;1969M02;4628
01 Andalucía;1969M01;5045
01 Andalucía;1968M12;4624
01 Andalucía;1968M11;3854
01 Andalucía;1968M10;3285
01 Andalucía;1968M09;3216
01 Andalucía;1968M08;3219
01 Andalucía;1968M07;3863
01 Andalucía;1968M06;3363
01 Andalucía;1968M05;3866
01 Andalucía;1968M04;4339
01 Andalucía;1968M03;5245
01 Andalucía;1968M02;5203
01 Andalucía;1968M01;5549
01 Andalucía;1967M12;5387
01 Andalucía;1967M11;3841
01 Andalucía;1967M10;3367
01 Andalucía;1967M09;3029
01 Andalucía;1967M08;3363
01 Andalucía;1967M07;4068
01 Andalucía;1967M06;3397
01 Andalucía;1967M05;3922
01 Andalucía;1967M04;4206
01 Andalucía;1967M03;4556
01 Andalucía;1967M02;4664
01 Andalucía;1967M01;5499
01 Andalucía;1966M12;5055
01 Andalucía;1966M11;4358
01 Andalucía;1966M10;3458
01 Andalucía;1966M09;3146
01 Andalucía;1966M08;3434
01 Andalucía;1966M07;346
01 Andalucía;1966M06;3338
01 Andalucía;1966M05;4047
01 Andalucía;1966M04;421
01 Andalucía;1966M03;4861
01 Andalucía;1966M02;4161
01 Andalucía;1966M01;4851
01 Andalucía;1965M12;4551
01 Andalucía;1965M11;3832
01 Andalucía;1965M10;3442
01 Andalucía;1965M09;3103
01 Andalucía;1965M08;3292
01 Andalucía;1965M07;3196
01 Andalucía;1965M06;3829
01 Andalucía;1965M05;3842
01 Andalucía;1965M04;4139
01 Andalucía;1965M03;4988
01 Andalucía;1965M02;4743
01 Andalucía;1965M01;6007
01 Andalucía;1964M12;4852
01 Andalucía;1964M11;3935
01 Andalucía;1964M10;3265
01 Andalucía;1964M09;3193
01 Andalucía;1964M08;3249
01 Andalucía;1964M07;3627
01 Andalucía;1964M06;3279
01 Andalucía;1964M05;3709
01 Andalucía;1964M04;4464
01 Andalucía;1964M03;4793
01 Andalucía;1964M02;4817
01 Andalucía;1964M01;4927
01 Andalucía;1963M12;4639
01 Andalucía;1963M11;3521
01 Andalucía;1963M10;338
01 Andalucía;1963M09;306
01 Andalucía;1963M08;3319
01 Andalucía;1963M07;3645
01 Andalucía;1963M06;3678
01 Andalucía;1963M05;4026
01 Andalucía;1963M04;4544
01 Andalucía;1963M03;5042
01 Andalucía;1963M02;5481
01 Andalucía;1963M01;5399
01 Andalucía;1962M12;535
01 Andalucía;1962M11;414
01 Andalucía;1962M10;3259
01 Andalucía;1962M09;2991
01 Andalucía;1962M08;343
01 Andalucía;1962M07;3512
01 Andalucía;1962M06;3527
01 Andalucía;1962M05;3762
01 Andalucía;1962M04;39
01 Andalucía;1962M03;4668
01 Andalucía;1962M02;5513
01 Andalucía;1962M01;5819
01 Andalucía;1961M12;4883
01 Andalucía;1961M11;3841
01 Andalucía;1961M10;3381
01 Andalucía;1961M09;3131
01 Andalucía;1961M08;3366
01 Andalucía;1961M07;3469
01 Andalucía;1961M06;3584
01 Andalucía;1961M05;4003
01 Andalucía;1961M04;4041
01 Andalucía;1961M03;4456
01 Andalucía;1961M02;4254
01 Andalucía;1961M01;5597
01 Andalucía;1960M12;4863
01 Andalucía;1960M11;383
01 Andalucía;1960M10;3622
01 Andalucía;1960M09;3141
01 Andalucía;1960M08;3318
01 Andalucía;1960M07;3693
01 Andalucía;1960M06;3515
01 Andalucía;1960M05;393
01 Andalucía;1960M04;3996
01 Andalucía;1960M03;4332
01 Andalucía;1960M02;4829
01 Andalucía;1960M01;5257
01 Andalucía;1959M12;4663
01 Andalucía;1959M11;3632
01 Andalucía;1959M10;3413
01 Andalucía;1959M09;3043
01 Andalucía;1959M08;3348
01 Andalucía;1959M07;3849
01 Andalucía;1959M06;3873
01 Andalucía;1959M05;418
01 Andalucía;1959M04;4632
01 Andalucía;1959M03;4567
01 Andalucía;1959M02;4581
01 Andalucía;1959M01;5002
01 Andalucía;1958M12;4454
01 Andalucía;1958M11;3785
01 Andalucía;1958M10;3616
01 Andalucía;1958M09;313
01 Andalucía;1958M08;344
01 Andalucía;1958M07;3614
01 Andalucía;1958M06;3604
01 Andalucía;1958M05;3747
01 Andalucía;1958M04;3847
01 Andalucía;1958M03;4214
01 Andalucía;1958M02;3989
01 Andalucía;1958M01;5667
01 Andalucía;1957M12;5712
01 Andalucía;1957M11;6287
01 Andalucía;1957M10;5719
01 Andalucía;1957M09;3255
01 Andalucía;1957M08;382
01 Andalucía;1957M07;4068
01 Andalucía;1957M06;368
01 Andalucía;1957M05;383
01 Andalucía;1957M04;3852
01 Andalucía;1957M03;4451
01 Andalucía;1957M02;5064
01 Andalucía;1957M01;6116
01 Andalucía;1956M12;5295
01 Andalucía;1956M11;415
01 Andalucía;1956M10;3336
01 Andalucía;1956M09;3197
01 Andalucía;1956M08;348
01 Andalucía;1956M07;3953
01 Andalucía;1956M06;3884
01 Andalucía;1956M05;3988
01 Andalucía;1956M04;4051
01 Andalucía;1956M03;5257
01 Andalucía;1956M02;6362
01 Andalucía;1956M01;5542
01 Andalucía;1955M12;4448
01 Andalucía;1955M11;4078
01 Andalucía;1955M10;3702
01 Andalucía;1955M09;3405
01 Andalucía;1955M08;3484
01 Andalucía;1955M07;3907
01 Andalucía;1955M06;4021
01 Andalucía;1955M05;3932
01 Andalucía;1955M04;405
01 Andalucía;1955M03;5466
01 Andalucía;1955M02;4257
01 Andalucía;1955M01;484
01 Andalucía;1954M12;4772
01 Andalucía;1954M11;3897
01 Andalucía;1954M10;3655
01 Andalucía;1954M09;3317
01 Andalucía;1954M08;3641
01 Andalucía;1954M07;3986
01 Andalucía;1954M06;3778
01 Andalucía;1954M05;3856
01 Andalucía;1954M04;402
01 Andalucía;1954M03;4501
01 Andalucía;1954M02;5044
01 Andalucía;1954M01;5621
01 Andalucía;1953M12;4267
01 Andalucía;1953M11;4008
01 Andalucía;1953M10;3941
01 Andalucía;1953M09;3568
01 Andalucía;1953M08;3846
01 Andalucía;1953M07;4074
01 Andalucía;1953M06;3828
01 Andalucía;1953M05;3921
01 Andalucía;1953M04;4548
01 Andalucía;1953M03;5588
01 Andalucía;1953M02;4624
01 Andalucía;1953M01;5535
01 Andalucía;1952M12;4509
01 Andalucía;1952M11;3791
01 Andalucía;1952M10;3817
01 Andalucía;1952M09;332
01 Andalucía;1952M08;3596
01 Andalucía;1952M07;4224
01 Andalucía;1952M06;4329
01 Andalucía;1952M05;4528
01 Andalucía;1952M04;4507
01 Andalucía;1952M03;5392
01 Andalucía;1952M02;5828
01 Andalucía;1952M01;5878
01 Andalucía;1951M12;484
01 Andalucía;1951M11;4334
01 Andalucía;1951M10;4306
01 Andalucía;1951M09;3664
01 Andalucía;1951M08;4065
01 Andalucía;1951M07;4351
01 Andalucía;1951M06;4374
01 Andalucía;1951M05;4423
01 Andalucía;1951M04;4561
01 Andalucía;1951M03;6151
01 Andalucía;1951M02;10532
01 Andalucía;1951M01;7649
01 Andalucía;1950M12;5967
01 Andalucía;1950M11;4987
01 Andalucía;1950M10;4666
01 Andalucía;1950M09;4255
01 Andalucía;1950M08;453
01 Andalucía;1950M07;5278
01 Andalucía;1950M06;4886
01 Andalucía;1950M05;5008
01 Andalucía;1950M04;5004
01 Andalucía;1950M03;582
01 Andalucía;1950M02;5488
01 Andalucía;1950M01;6951
01 Andalucía;1949M12;6859
01 Andalucía;1949M11;6016
01 Andalucía;1949M10;5761
01 Andalucía;1949M09;4738
01 Andalucía;1949M08;543
01 Andalucía;1949M07;5395
01 Andalucía;1949M06;5208
01 Andalucía;1949M05;5444
01 Andalucía;1949M04;5171
01 Andalucía;1949M03;5624
01 Andalucía;1949M02;5216
01 Andalucía;1949M01;5846
01 Andalucía;1948M12;5237
01 Andalucía;1948M11;4997
01 Andalucía;1948M10;4803
01 Andalucía;1948M09;4414
01 Andalucía;1948M08;4647
01 Andalucía;1948M07;5156
01 Andalucía;1948M06;5296
01 Andalucía;1948M05;5159
01 Andalucía;1948M04;4956
01 Andalucía;1948M03;5413
01 Andalucía;1948M02;5311
01 Andalucía;1948M01;6061
01 Andalucía;1947M12;6175
01 Andalucía;1947M11;5001
01 Andalucía;1947M10;476
01 Andalucía;1947M09;4363
01 Andalucía;1947M08;491
01 Andalucía;1947M07;5161
01 Andalucía;1947M06;5005
01 Andalucía;1947M05;4834
01 Andalucía;1947M04;5412
01 Andalucía;1947M03;6112
01 Andalucía;1947M02;6939
01 Andalucía;1947M01;777
01 Andalucía;1946M12;6474
01 Andalucía;1946M11;5484
01 Andalucía;1946M10;5202
01 Andalucía;1946M09;5088
01 Andalucía;1946M08;6841
01 Andalucía;1946M07;927
01 Andalucía;1946M06;8975
01 Andalucía;1946M05;8185
01 Andalucía;1946M04;6724
01 Andalucía;1946M03;6993
01 Andalucía;1946M02;5979
01 Andalucía;1946M01;7228
01 Andalucía;1945M12;6443
01 Andalucía;1945M11;5623
01 Andalucía;1945M10;5781
01 Andalucía;1945M09;5096
01 Andalucía;1945M08;5053
01 Andalucía;1945M07;5312
01 Andalucía;1945M06;5568
01 Andalucía;1945M05;5492
01 Andalucía;1945M04;5146
01 Andalucía;1945M03;5693
01 Andalucía;1945M02;5115
01 Andalucía;1945M01;739
01 Andalucía;1944M12;5547
01 Andalucía;1944M11;5354
01 Andalucía;1944M10;5888
01 Andalucía;1944M09;5217
01 Andalucía;1944M08;5804
01 Andalucía;1944M07;6889
01 Andalucía;1944M06;6302
01 Andalucía;1944M05;5295
01 Andalucía;1944M04;4821
01 Andalucía;1944M03;6382
01 Andalucía;1944M02;6579
01 Andalucía;1944M01;8268
01 Andalucía;1943M12;7186
01 Andalucía;1943M11;6229
01 Andalucía;1943M10;5727
01 Andalucía;1943M09;5441
01 Andalucía;1943M08;6239
01 Andalucía;1943M07;678
01 Andalucía;1943M06;7385
01 Andalucía;1943M05;5906
01 Andalucía;1943M04;5179
01 Andalucía;1943M03;6126
01 Andalucía;1943M02;5983
01 Andalucía;1943M01;7252
01 Andalucía;1942M12;6607
01 Andalucía;1942M11;6208
01 Andalucía;1942M10;6368
01 Andalucía;1942M09;6101
01 Andalucía;1942M08;684
01 Andalucía;1942M07;8014
01 Andalucía;1942M06;6879
01 Andalucía;1942M05;6481
01 Andalucía;1942M04;6845
01 Andalucía;1942M03;8623
01 Andalucía;1942M02;8726
01 Andalucía;1942M01;907
01 Andalucía;1941M12;8326
01 Andalucía;1941M11;8296
01 Andalucía;1941M10;8002
01 Andalucía;1941M09;7833
01 Andalucía;1941M08;10579
01 Andalucía;1941M07;12794
01 Andalucía;1941M06;10947
01 Andalucía;1941M05;11068
01 Andalucía;1941M04;11765
01 Andalucía;1941M03;11796
01 Andalucía;1941M02;10755
01 Andalucía;1941M01;11147
02 Aragón;1974M12;115
02 Aragón;1974M11;882
02 Aragón;1974M10;872
02 Aragón;1974M09;758
02 Aragón;1974M08;765
02 Aragón;1974M07;739
02 Aragón;1974M06;674
02 Aragón;1974M05;809
02 Aragón;1974M04;845
02 Aragón;1974M03;877
02 Aragón;1974M02;865
02 Aragón;1974M01;106
02 Aragón;1973M12;1103
02 Aragón;1973M11;795
02 Aragón;1973M10;813
02 Aragón;1973M09;709
02 Aragón;1973M08;836
02 Aragón;1973M07;761
02 Aragón;1973M06;710
02 Aragón;1973M05;816
02 Aragón;1973M04;829
02 Aragón;1973M03;888
02 Aragón;1973M02;959
02 Aragón;1973M01;1713
02 Aragón;1972M12;1055
02 Aragón;1972M11;809
02 Aragón;1972M10;816
02 Aragón;1972M09;705
02 Aragón;1972M08;739
02 Aragón;1972M07;787
02 Aragón;1972M06;702
02 Aragón;1972M05;857
02 Aragón;1972M04;786
02 Aragón;1972M03;873
02 Aragón;1972M02;947
02 Aragón;1972M01;1079
02 Aragón;1971M12;1195
02 Aragón;1971M11;1145
02 Aragón;1971M10;833
02 Aragón;1971M09;702
02 Aragón;1971M08;767
02 Aragón;1971M07;771
02 Aragón;1971M06;778
02 Aragón;1971M05;807
02 Aragón;1971M04;947
02 Aragón;1971M03;102
02 Aragón;1971M02;862
02 Aragón;1971M01;1267
02 Aragón;1970M12;961
02 Aragón;1970M11;898
02 Aragón;1970M10;810
02 Aragón;1970M09;838
02 Aragón;1970M08;797
02 Aragón;1970M07;744
02 Aragón;1970M06;742
02 Aragón;1970M05;869
02 Aragón;1970M04;926
02 Aragón;1970M03;971
02 Aragón;1970M02;927
02 Aragón;1970M01;1042
02 Aragón;1969M12;1265
02 Aragón;1969M11;1246
02 Aragón;1969M10;879
02 Aragón;1969M09;727
02 Aragón;1969M08;714
02 Aragón;1969M07;801
02 Aragón;1969M06;741
02 Aragón;1969M05;862
02 Aragón;1969M04;565
02 Aragón;1969M03;1279
02 Aragón;1969M02;917
02 Aragón;1969M01;1077
02 Aragón;1968M12;961
02 Aragón;1968M11;799
02 Aragón;1968M10;718
02 Aragón;1968M09;705
02 Aragón;1968M08;730
02 Aragón;1968M07;773
02 Aragón;1968M06;686
02 Aragón;1968M05;818
02 Aragón;1968M04;816
02 Aragón;1968M03;1222
02 Aragón;1968M02;1186
02 Aragón;1968M01;1062
02 Aragón;1967M12;1078
02 Aragón;1967M11;816
02 Aragón;1967M10;753
02 Aragón;1967M09;729
02 Aragón;1967M08;767
02 Aragón;1967M07;777
02 Aragón;1967M06;760
02 Aragón;1967M05;879
02 Aragón;1967M04;867
02 Aragón;1967M03;997
02 Aragón;1967M02;988
